Evaluation

batch_size=40
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_dir='data/rt-polarity'
dataset_sort=False
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=300
emb_fn='/playpen2/home/peter/xu/data/glove.840B.300d.txt'
emb_load_all=False
epoch_num=200
evaluator='token-acc'
freeze_word_embeddings=False
gpu=1
hadamard_importance=False
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.015
lr_decay=0.05
max_pool_protos=True
min_epoch_num=1
model='ProtoBiRNN'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=40
opt='sgd'
patience=80
pooling_type='attention'
pre_eval=False
pretrained_model='attention-16d'
proto_dim=16
push_after=20
rnn_hidden_dim=50
rnn_type='LSTM'
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-p40-kmeans-push20'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
word_seq_indexer='data/word_seq_indexer'

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
             55 |           0.07 |          92.03 |          80.84 |          79.25 |           0.42 |           0.00 |          -3.51 
             56 |           0.05 |          91.87 |          81.44 |          79.30 |           0.41 |           0.00 |          -3.56 
             57 |           0.05 |          91.69 |          81.32 |          80.40 |           0.41 |           0.00 |          -3.57 
             58 |           0.07 |          92.29 |          81.80 |          80.31 |           0.42 |           0.00 |          -3.53 
             59 |           0.09 |          90.77 |          80.12 |          78.63 |           0.43 |           0.00 |          -3.45 
             60 |           0.05 |          91.15 |          80.24 |          79.20 |           0.41 |           0.00 |          -3.57 
             61 |           0.01 |          91.71 |          81.92 |          80.26 |           0.38 |           0.00 |          -3.68 
             62 |           0.06 |          92.80 |          81.44 |          80.21 |           0.42 |           0.00 |          -3.53 
             63 |           0.06 |          92.86 |          82.16 |          80.35 |           0.42 |           0.00 |          -3.53 
             64 |           0.08 |          92.86 |          81.44 |          79.97 |           0.43 |           0.00 |          -3.47 
             65 |           0.05 |          92.94 |          81.68 |          80.45 |           0.41 |           0.00 |          -3.56 
             66 |           0.06 |          92.96 |          81.32 |          80.26 |           0.41 |           0.00 |          -3.55 
             67 |           0.09 |          92.09 |          81.44 |          80.07 |           0.44 |           0.00 |          -3.45 
             68 |           0.03 |          93.09 |          82.04 |          80.31 |           0.39 |           0.00 |          -3.64 
             69 |           0.04 |          92.90 |          81.56 |          80.45 |           0.40 |           0.00 |          -3.62 
             70 |           0.05 |          92.42 |          81.44 |          80.45 |           0.41 |           0.00 |          -3.56 
             71 |           0.05 |          92.70 |          81.32 |          79.92 |           0.41 |           0.00 |          -3.56 
             72 |           0.04 |          93.00 |          82.51 |          81.03 |           0.40 |           0.00 |          -3.60 
             73 |           0.05 |          91.43 |          81.32 |          79.97 |           0.41 |           0.00 |          -3.59 
             74 |           0.04 |          92.66 |          80.60 |          79.97 |           0.40 |           0.00 |          -3.61 
             75 |           0.02 |          93.10 |          80.96 |          80.64 |           0.39 |           0.00 |          -3.68 
             76 |           0.04 |          92.88 |          81.68 |          80.55 |           0.40 |           0.00 |          -3.62 
             77 |           0.05 |          92.05 |          79.64 |          79.49 |           0.41 |           0.00 |          -3.57 
             78 |           0.05 |          93.30 |          81.32 |          80.79 |           0.41 |           0.00 |          -3.58 
             79 |           0.03 |          93.36 |          81.92 |          81.36 |           0.39 |           0.00 |          -3.66 
             80 |           0.04 |          93.22 |          80.96 |          80.31 |           0.40 |           0.00 |          -3.60 
             81 |           0.05 |          92.76 |          80.96 |          79.20 |           0.41 |           0.00 |          -3.59 
             82 |           0.04 |          93.41 |          81.20 |          80.64 |           0.40 |           0.00 |          -3.60 
             83 |           0.04 |          93.24 |          81.20 |          80.69 |           0.40 |           0.00 |          -3.62 
             84 |           0.04 |          92.45 |          80.24 |          79.40 |           0.40 |           0.00 |          -3.63 
             85 |           0.05 |          92.89 |          81.92 |          80.26 |           0.41 |           0.00 |          -3.60 
             86 |           0.02 |          93.01 |          80.96 |          80.59 |           0.39 |           0.00 |          -3.67 
             87 |           0.01 |          93.54 |          81.44 |          80.83 |           0.38 |           0.00 |          -3.70 
             88 |           0.05 |          92.81 |          82.04 |          80.31 |           0.41 |           0.00 |          -3.59 
             89 |           0.01 |          93.46 |          81.08 |          80.55 |           0.38 |           0.00 |          -3.71 
             90 |           0.01 |          93.60 |          81.92 |          80.74 |           0.38 |           0.00 |          -3.71 
             91 |           0.05 |          93.74 |          82.16 |          80.64 |           0.41 |           0.00 |          -3.60 
             92 |           0.01 |          93.68 |          81.80 |          80.50 |           0.38 |           0.00 |          -3.71 
             93 |           0.03 |          93.69 |          82.40 |          80.21 |           0.39 |           0.00 |          -3.66 
             94 |           0.07 |          93.66 |          82.28 |          80.45 |           0.42 |           0.00 |          -3.53 
             95 |           0.02 |          93.52 |          81.56 |          80.50 |           0.39 |           0.00 |          -3.67 
             96 |           0.03 |          93.66 |          82.16 |          81.03 |           0.39 |           0.00 |          -3.65 
             97 |           0.03 |          93.64 |          82.04 |          80.59 |           0.40 |           0.00 |          -3.65 
             98 |           0.02 |          93.49 |          81.80 |          80.88 |           0.39 |           0.00 |          -3.68 
             99 |           0.03 |          91.87 |          80.36 |          80.07 |           0.40 |           0.00 |          -3.64 
            100 |           0.03 |          93.94 |          82.16 |          80.98 |           0.40 |           0.00 |          -3.64 
            101 |           0.01 |          93.66 |          82.51 |          80.64 |           0.38 |           0.00 |          -3.70 
            102 |           0.02 |          93.60 |          81.92 |          80.59 |           0.39 |           0.00 |          -3.68 
            103 |           0.03 |          93.13 |          81.08 |          80.26 |           0.39 |           0.00 |          -3.66 
            104 |           0.05 |          93.45 |          82.04 |          80.64 |           0.41 |           0.00 |          -3.60 
            105 |           0.06 |          93.84 |          82.28 |          80.74 |           0.42 |           0.00 |          -3.55 
            106 |           0.02 |          94.09 |          82.28 |          80.79 |           0.39 |           0.00 |          -3.69 
            107 |           0.03 |          93.65 |          81.80 |          80.83 |           0.40 |           0.00 |          -3.65 
            108 |           0.02 |          94.00 |          81.80 |          80.79 |           0.39 |           0.00 |          -3.68 
            109 |           0.03 |          93.89 |          82.28 |          80.83 |           0.40 |           0.00 |          -3.64 
            110 |           0.02 |          93.24 |          81.92 |          80.74 |           0.39 |           0.00 |          -3.67 
            111 |           0.05 |          92.93 |          81.80 |          79.78 |           0.41 |           0.00 |          -3.60 
            112 |           0.02 |          94.08 |          82.51 |          81.17 |           0.39 |           0.00 |          -3.68 
            113 |           0.02 |          94.21 |          82.63 |          81.17 |           0.39 |           0.00 |          -3.68 
            114 |           0.04 |          93.72 |          82.51 |          80.45 |           0.40 |           0.00 |          -3.61 
            115 |           0.05 |          93.62 |          82.28 |          80.59 |           0.41 |           0.00 |          -3.60 
