Evaluation

batch_size=40
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_dir='data/rt-polarity'
dataset_sort=False
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=300
emb_fn='/playpen2/home/peter/xu/data/glove.840B.300d.txt'
emb_load_all=False
epoch_num=100
evaluator='token-acc'
freeze_word_embeddings=False
gpu=0
hadamard_importance=False
kmeans_init=False
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.015
lr_decay=0.05
max_pool_protos=True
min_epoch_num=1
model='BiRNN'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=5
opt='sgd'
patience=15
pooling_type='attention'
pre_eval=False
pretrained_model=None
proto_dim=16
push_after=15
rnn_hidden_dim=50
rnn_type='LSTM'
save_best=True
save_data=False
save_dir='saved_models'
save_name='attention-corrected'
seed_num=10
similarity_epsilon=0.1
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=0
verbose=True
word_seq_indexer='data/word_seq_indexer'

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
             57 |           0.34 |          83.34 |          75.09 |          76.28 |           0.00 |           0.00 |           0.00 
             58 |           0.33 |          84.73 |          77.01 |          77.67 |           0.00 |           0.00 |           0.00 
             59 |           0.32 |          86.01 |          79.88 |          78.92 |           0.00 |           0.00 |           0.00 
             60 |           0.31 |          85.75 |          77.37 |          78.49 |           0.00 |           0.00 |           0.00 
             61 |           0.26 |          85.70 |          79.64 |          78.49 |           0.00 |           0.00 |           0.00 
             62 |           0.28 |          86.03 |          79.16 |          78.63 |           0.00 |           0.00 |           0.00 
             63 |           0.33 |          86.57 |          78.92 |          78.73 |           0.00 |           0.00 |           0.00 
             64 |           0.35 |          86.19 |          79.40 |          78.63 |           0.00 |           0.00 |           0.00 
             65 |           0.35 |          86.46 |          79.16 |          79.44 |           0.00 |           0.00 |           0.00 
             66 |           0.29 |          85.70 |          78.44 |          77.86 |           0.00 |           0.00 |           0.00 
             67 |           0.31 |          86.22 |          79.40 |          79.16 |           0.00 |           0.00 |           0.00 
             68 |           0.30 |          86.06 |          78.56 |          78.53 |           0.00 |           0.00 |           0.00 
             69 |           0.31 |          86.75 |          78.44 |          79.44 |           0.00 |           0.00 |           0.00 
             70 |           0.36 |          86.49 |          79.16 |          78.77 |           0.00 |           0.00 |           0.00 
             71 |           0.36 |          86.78 |          80.84 |          79.78 |           0.00 |           0.00 |           0.00 
             72 |           0.30 |          87.22 |          79.76 |          80.07 |           0.00 |           0.00 |           0.00 
             73 |           0.29 |          87.47 |          80.60 |          80.02 |           0.00 |           0.00 |           0.00 
             74 |           0.33 |          85.12 |          78.56 |          76.76 |           0.00 |           0.00 |           0.00 
             75 |           0.25 |          84.78 |          78.44 |          76.95 |           0.00 |           0.00 |           0.00 
             76 |           0.35 |          88.10 |          80.96 |          80.83 |           0.00 |           0.00 |           0.00 
             77 |           0.30 |          87.62 |          81.32 |          80.11 |           0.00 |           0.00 |           0.00 
             78 |           0.31 |          87.23 |          80.24 |          79.92 |           0.00 |           0.00 |           0.00 
             79 |           0.30 |          87.19 |          80.96 |          78.92 |           0.00 |           0.00 |           0.00 
             80 |           0.40 |          85.75 |          78.32 |          78.15 |           0.00 |           0.00 |           0.00 
             81 |           0.30 |          87.99 |          80.60 |          79.44 |           0.00 |           0.00 |           0.00 
             82 |           0.31 |          86.82 |          79.28 |          78.34 |           0.00 |           0.00 |           0.00 
             83 |           0.28 |          87.43 |          80.48 |          78.77 |           0.00 |           0.00 |           0.00 
             84 |           0.31 |          87.64 |          79.76 |          79.35 |           0.00 |           0.00 |           0.00 
             85 |           0.30 |          87.95 |          80.48 |          80.64 |           0.00 |           0.00 |           0.00 
             86 |           0.27 |          86.02 |          79.04 |          79.11 |           0.00 |           0.00 |           0.00 
             87 |           0.31 |          87.82 |          80.48 |          79.97 |           0.00 |           0.00 |           0.00 
             88 |           0.29 |          88.42 |          80.36 |          80.55 |           0.00 |           0.00 |           0.00 
             89 |           0.29 |          88.90 |          80.96 |          80.11 |           0.00 |           0.00 |           0.00 
             90 |           0.29 |          88.67 |          81.56 |          80.93 |           0.00 |           0.00 |           0.00 
             91 |           0.32 |          88.24 |          80.60 |          80.11 |           0.00 |           0.00 |           0.00 
             92 |           0.35 |          88.82 |          80.48 |          80.11 |           0.00 |           0.00 |           0.00 
             93 |           0.32 |          88.55 |          80.60 |          80.69 |           0.00 |           0.00 |           0.00 
             94 |           0.34 |          88.47 |          80.36 |          79.73 |           0.00 |           0.00 |           0.00 
             95 |           0.24 |          88.11 |          80.48 |          79.30 |           0.00 |           0.00 |           0.00 
             96 |           0.30 |          87.92 |          80.24 |          79.25 |           0.00 |           0.00 |           0.00 
             97 |           0.26 |          88.26 |          79.76 |          79.54 |           0.00 |           0.00 |           0.00 
             98 |           0.30 |          88.67 |          80.60 |          80.79 |           0.00 |           0.00 |           0.00 
             99 |           0.33 |          89.07 |          81.20 |          80.74 |           0.00 |           0.00 |           0.00 
            100 |           0.26 |          89.08 |          81.20 |          80.93 |           0.00 |           0.00 |           0.00 
------------------------------------------------------------------------------------------------------------------------------------------
Final eval on test, "save best", best epoch on dev 90, token-acc, dev = 81.56 | test = 80.93)
------------------------------------------------------------------------------------------------------------------------------------------
*** Token-level accuracy: 80.93% ***
 	 TP: 81.76 | abs: 807
 	 FP: 18.24 | abs: 180
 	 TN: 80.18 | abs: 882
 	 FN: 19.82 | abs: 218
Neg class: neg, Pos class: pos
Input arguments:
python3 main.py --model BiRNN --save-name attention-corrected

 Best performance: 80.9296
