Evaluation

batch_size=1000
cross_fold_id=-1
cross_folds_num=-1
data_name='adult'
dataset_sort=False
dropout_ratio=0
epoch_num=300
evaluator='token-acc'
gpu=0
hadamard_importance=False
hidden_dim=50
input_dim=66
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.001
lr_decay=0
max_pool_protos=True
min_epoch_num=1
model='ProtoMLP'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=20
opt='sgd'
patience=150
pooling_type='attention'
pre_eval=False
pretrained_model='mlp-16d'
proto_dim=16
push_after=80
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-20-push80'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
weight_decay=0.0001

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
             58 |           0.38 |          82.74 |          80.80 |          82.15 |           0.51 |           0.00 |          -1.29 
             59 |           0.37 |          82.89 |          81.06 |          81.64 |           0.50 |           0.00 |          -1.30 
             60 |           0.36 |          83.08 |          81.25 |          81.71 |           0.49 |           0.00 |          -1.36 
             61 |           0.36 |          83.26 |          81.38 |          81.90 |           0.50 |           0.00 |          -1.36 
             62 |           0.37 |          82.91 |          80.74 |          82.22 |           0.51 |           0.00 |          -1.34 
             63 |           0.37 |          82.75 |          80.36 |          81.84 |           0.50 |           0.00 |          -1.33 
             64 |           0.35 |          82.73 |          79.97 |          82.22 |           0.49 |           0.00 |          -1.42 
             65 |           0.33 |          82.53 |          80.10 |          81.45 |           0.48 |           0.00 |          -1.50 
             66 |           0.36 |          82.61 |          79.85 |          81.45 |           0.50 |           0.00 |          -1.41 
             67 |           0.35 |          82.68 |          80.55 |          81.84 |           0.50 |           0.00 |          -1.48 
             68 |           0.34 |          82.74 |          80.29 |          82.15 |           0.49 |           0.00 |          -1.49 
             69 |           0.34 |          82.79 |          80.68 |          82.22 |           0.49 |           0.00 |          -1.50 
             70 |           0.33 |          82.83 |          80.61 |          82.35 |           0.49 |           0.00 |          -1.58 
             71 |           0.33 |          82.62 |          79.85 |          81.90 |           0.49 |           0.00 |          -1.60 
             72 |           0.34 |          82.53 |          80.04 |          81.77 |           0.49 |           0.00 |          -1.58 
