Evaluation

batch_size=1000
cross_fold_id=-1
cross_folds_num=-1
data_name='adult'
dataset_sort=False
dropout_ratio=0
epoch_num=300
evaluator='token-acc'
gpu=0
hadamard_importance=False
hidden_dim=50
input_dim=66
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.001
lr_decay=0
max_pool_protos=True
min_epoch_num=1
model='MLP'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=20
opt='adam'
patience=150
pooling_type='attention'
pre_eval=False
pretrained_model=None
proto_dim=16
push_after=40
save_best=True
save_data=False
save_dir='saved_models'
save_name='mlp-b1000'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
weight_decay=0.0001

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
             60 |           0.32 |          84.11 |          80.48 |          82.15 |           0.00 |           0.00 |           0.00 
             61 |           0.30 |          83.91 |          81.95 |          82.79 |           0.00 |           0.00 |           0.00 
             62 |           0.30 |          84.21 |          81.44 |          83.30 |           0.00 |           0.00 |           0.00 
             63 |           0.33 |          84.26 |          80.87 |          83.94 |           0.00 |           0.00 |           0.00 
             64 |           0.35 |          83.83 |          81.38 |          83.37 |           0.00 |           0.00 |           0.00 
             65 |           0.35 |          83.91 |          81.31 |          82.92 |           0.00 |           0.00 |           0.00 
             66 |           0.36 |          84.17 |          80.74 |          82.15 |           0.00 |           0.00 |           0.00 
             67 |           0.33 |          84.26 |          81.76 |          82.73 |           0.00 |           0.00 |           0.00 
             68 |           0.33 |          83.80 |          81.76 |          82.73 |           0.00 |           0.00 |           0.00 
             69 |           0.32 |          84.12 |          80.61 |          81.96 |           0.00 |           0.00 |           0.00 
             70 |           0.32 |          84.15 |          81.57 |          83.17 |           0.00 |           0.00 |           0.00 
             71 |           0.32 |          84.42 |          81.44 |          83.68 |           0.00 |           0.00 |           0.00 
             72 |           0.31 |          84.52 |          81.38 |          83.05 |           0.00 |           0.00 |           0.00 
             73 |           0.31 |          84.22 |          81.76 |          83.75 |           0.00 |           0.00 |           0.00 
             74 |           0.32 |          83.92 |          81.95 |          82.92 |           0.00 |           0.00 |           0.00 
             75 |           0.32 |          84.55 |          81.38 |          83.75 |           0.00 |           0.00 |           0.00 
             76 |           0.29 |          84.70 |          81.63 |          82.79 |           0.00 |           0.00 |           0.00 
             77 |           0.33 |          84.62 |          81.82 |          83.05 |           0.00 |           0.00 |           0.00 
             78 |           0.32 |          84.29 |          81.57 |          81.84 |           0.00 |           0.00 |           0.00 
             79 |           0.30 |          84.50 |          81.63 |          81.45 |           0.00 |           0.00 |           0.00 
             80 |           0.32 |          84.68 |          81.63 |          83.37 |           0.00 |           0.00 |           0.00 
             81 |           0.33 |          84.23 |          80.74 |          82.79 |           0.00 |           0.00 |           0.00 
             82 |           0.33 |          83.96 |          81.31 |          83.11 |           0.00 |           0.00 |           0.00 
             83 |           0.32 |          84.34 |          81.31 |          82.79 |           0.00 |           0.00 |           0.00 
             84 |           0.34 |          85.00 |          81.82 |          82.66 |           0.00 |           0.00 |           0.00 
             85 |           0.29 |          84.62 |          80.68 |          82.66 |           0.00 |           0.00 |           0.00 
             86 |           0.32 |          85.04 |          81.82 |          83.68 |           0.00 |           0.00 |           0.00 
             87 |           0.32 |          85.01 |          82.14 |          82.92 |           0.00 |           0.00 |           0.00 
             88 |           0.33 |          85.00 |          81.31 |          82.15 |           0.00 |           0.00 |           0.00 
             89 |           0.32 |          85.07 |          81.82 |          82.60 |           0.00 |           0.00 |           0.00 
             90 |           0.33 |          84.64 |          80.80 |          81.84 |           0.00 |           0.00 |           0.00 
             91 |           0.32 |          84.35 |          81.57 |          83.75 |           0.00 |           0.00 |           0.00 
             92 |           0.30 |          84.89 |          81.44 |          82.41 |           0.00 |           0.00 |           0.00 
             93 |           0.29 |          84.90 |          82.72 |          82.79 |           0.00 |           0.00 |           0.00 
             94 |           0.33 |          85.02 |          81.70 |          83.62 |           0.00 |           0.00 |           0.00 
             95 |           0.32 |          85.13 |          80.99 |          82.98 |           0.00 |           0.00 |           0.00 
             96 |           0.30 |          85.04 |          81.82 |          83.17 |           0.00 |           0.00 |           0.00 
             97 |           0.33 |          84.88 |          81.44 |          82.60 |           0.00 |           0.00 |           0.00 
             98 |           0.33 |          85.32 |          82.33 |          83.56 |           0.00 |           0.00 |           0.00 
             99 |           0.34 |          84.86 |          82.14 |          82.79 |           0.00 |           0.00 |           0.00 
            100 |           0.32 |          85.19 |          81.44 |          82.73 |           0.00 |           0.00 |           0.00 
            101 |           0.31 |          84.81 |          81.31 |          83.11 |           0.00 |           0.00 |           0.00 
            102 |           0.30 |          84.53 |          80.36 |          82.28 |           0.00 |           0.00 |           0.00 
            103 |           0.30 |          84.81 |          81.44 |          82.35 |           0.00 |           0.00 |           0.00 
            104 |           0.30 |          84.74 |          81.95 |          82.98 |           0.00 |           0.00 |           0.00 
            105 |           0.32 |          84.73 |          81.06 |          81.77 |           0.00 |           0.00 |           0.00 
            106 |           0.30 |          84.96 |          81.38 |          82.15 |           0.00 |           0.00 |           0.00 
            107 |           0.29 |          84.60 |          81.25 |          82.28 |           0.00 |           0.00 |           0.00 
            108 |           0.29 |          85.17 |          81.70 |          83.17 |           0.00 |           0.00 |           0.00 
            109 |           0.28 |          85.11 |          81.76 |          81.77 |           0.00 |           0.00 |           0.00 
            110 |           0.31 |          85.21 |          82.46 |          83.37 |           0.00 |           0.00 |           0.00 
            111 |           0.31 |          85.65 |          83.42 |          83.49 |           0.00 |           0.00 |           0.00 
            112 |           0.29 |          85.40 |          82.40 |          83.24 |           0.00 |           0.00 |           0.00 
            113 |           0.29 |          85.19 |          81.89 |          83.30 |           0.00 |           0.00 |           0.00 
            114 |           0.30 |          85.09 |          81.44 |          83.05 |           0.00 |           0.00 |           0.00 
            115 |           0.29 |          85.50 |          81.38 |          83.37 |           0.00 |           0.00 |           0.00 
            116 |           0.26 |          85.29 |          82.65 |          83.37 |           0.00 |           0.00 |           0.00 
            117 |           0.27 |          85.36 |          81.44 |          82.66 |           0.00 |           0.00 |           0.00 
            118 |           0.29 |          85.56 |          82.21 |          82.73 |           0.00 |           0.00 |           0.00 
            119 |           0.31 |          85.43 |          83.16 |          82.98 |           0.00 |           0.00 |           0.00 
            120 |           0.29 |          85.37 |          82.91 |          83.75 |           0.00 |           0.00 |           0.00 
            121 |           0.33 |          85.60 |          82.46 |          84.00 |           0.00 |           0.00 |           0.00 
            122 |           0.30 |          85.30 |          82.72 |          83.94 |           0.00 |           0.00 |           0.00 
            123 |           0.32 |          85.87 |          82.33 |          81.90 |           0.00 |           0.00 |           0.00 
            124 |           0.30 |          85.64 |          82.40 |          82.86 |           0.00 |           0.00 |           0.00 
            125 |           0.32 |          85.56 |          82.02 |          82.98 |           0.00 |           0.00 |           0.00 
            126 |           0.31 |          85.48 |          81.44 |          82.54 |           0.00 |           0.00 |           0.00 
            127 |           0.30 |          85.41 |          81.31 |          82.54 |           0.00 |           0.00 |           0.00 
            128 |           0.30 |          85.21 |          81.38 |          83.17 |           0.00 |           0.00 |           0.00 
            129 |           0.29 |          85.00 |          81.63 |          82.47 |           0.00 |           0.00 |           0.00 
            130 |           0.32 |          85.44 |          80.55 |          81.96 |           0.00 |           0.00 |           0.00 
            131 |           0.30 |          85.87 |          82.21 |          83.49 |           0.00 |           0.00 |           0.00 
            132 |           0.29 |          86.01 |          82.53 |          83.68 |           0.00 |           0.00 |           0.00 
            133 |           0.33 |          85.46 |          80.93 |          82.28 |           0.00 |           0.00 |           0.00 
            134 |           0.30 |          86.19 |          82.02 |          83.30 |           0.00 |           0.00 |           0.00 
            135 |           0.29 |          85.49 |          81.25 |          82.15 |           0.00 |           0.00 |           0.00 
            136 |           0.27 |          85.64 |          81.31 |          83.05 |           0.00 |           0.00 |           0.00 
            137 |           0.28 |          85.91 |          82.08 |          83.05 |           0.00 |           0.00 |           0.00 
            138 |           0.31 |          85.76 |          82.46 |          82.92 |           0.00 |           0.00 |           0.00 
            139 |           0.31 |          85.52 |          81.82 |          83.37 |           0.00 |           0.00 |           0.00 
            140 |           0.31 |          85.31 |          81.06 |          83.24 |           0.00 |           0.00 |           0.00 
            141 |           0.30 |          85.76 |          82.72 |          82.92 |           0.00 |           0.00 |           0.00 
            142 |           0.30 |          86.15 |          81.25 |          83.05 |           0.00 |           0.00 |           0.00 
            143 |           0.29 |          86.17 |          81.31 |          83.43 |           0.00 |           0.00 |           0.00 
            144 |           0.31 |          85.78 |          80.68 |          82.35 |           0.00 |           0.00 |           0.00 
            145 |           0.27 |          85.56 |          81.06 |          81.71 |           0.00 |           0.00 |           0.00 
            146 |           0.27 |          85.76 |          81.63 |          82.60 |           0.00 |           0.00 |           0.00 
            147 |           0.30 |          85.78 |          81.63 |          82.60 |           0.00 |           0.00 |           0.00 
            148 |           0.30 |          85.61 |          81.57 |          82.41 |           0.00 |           0.00 |           0.00 
            149 |           0.27 |          85.68 |          81.25 |          82.28 |           0.00 |           0.00 |           0.00 
            150 |           0.32 |          86.00 |          82.33 |          82.79 |           0.00 |           0.00 |           0.00 
            151 |           0.29 |          86.07 |          81.89 |          83.37 |           0.00 |           0.00 |           0.00 
            152 |           0.31 |          86.03 |          82.53 |          83.81 |           0.00 |           0.00 |           0.00 
            153 |           0.27 |          86.07 |          82.02 |          83.43 |           0.00 |           0.00 |           0.00 
            154 |           0.27 |          85.90 |          83.42 |          82.73 |           0.00 |           0.00 |           0.00 
            155 |           0.28 |          85.27 |          81.19 |          82.09 |           0.00 |           0.00 |           0.00 
            156 |           0.31 |          85.87 |          81.82 |          82.35 |           0.00 |           0.00 |           0.00 
            157 |           0.31 |          86.03 |          81.95 |          82.92 |           0.00 |           0.00 |           0.00 
            158 |           0.32 |          86.26 |          81.82 |          83.49 |           0.00 |           0.00 |           0.00 
            159 |           0.28 |          85.90 |          80.55 |          83.24 |           0.00 |           0.00 |           0.00 
            160 |           0.29 |          85.56 |          81.89 |          82.66 |           0.00 |           0.00 |           0.00 
            161 |           0.29 |          85.91 |          82.59 |          82.60 |           0.00 |           0.00 |           0.00 
            162 |           0.30 |          86.41 |          82.53 |          82.60 |           0.00 |           0.00 |           0.00 
            163 |           0.29 |          86.23 |          82.53 |          82.92 |           0.00 |           0.00 |           0.00 
            164 |           0.28 |          85.93 |          81.95 |          82.54 |           0.00 |           0.00 |           0.00 
            165 |           0.29 |          85.66 |          81.95 |          83.62 |           0.00 |           0.00 |           0.00 
            166 |           0.29 |          85.98 |          82.14 |          83.62 |           0.00 |           0.00 |           0.00 
            167 |           0.26 |          86.34 |          82.14 |          83.49 |           0.00 |           0.00 |           0.00 
            168 |           0.28 |          86.20 |          81.31 |          83.24 |           0.00 |           0.00 |           0.00 
            169 |           0.28 |          85.80 |          82.53 |          83.88 |           0.00 |           0.00 |           0.00 
            170 |           0.30 |          86.48 |          82.08 |          82.98 |           0.00 |           0.00 |           0.00 
            171 |           0.26 |          86.23 |          81.70 |          82.60 |           0.00 |           0.00 |           0.00 
            172 |           0.28 |          85.66 |          81.51 |          83.37 |           0.00 |           0.00 |           0.00 
            173 |           0.28 |          86.23 |          82.27 |          83.62 |           0.00 |           0.00 |           0.00 
            174 |           0.29 |          86.59 |          81.70 |          83.17 |           0.00 |           0.00 |           0.00 
            175 |           0.28 |          86.33 |          82.14 |          83.17 |           0.00 |           0.00 |           0.00 
            176 |           0.27 |          86.26 |          82.97 |          83.37 |           0.00 |           0.00 |           0.00 
            177 |           0.25 |          86.30 |          81.63 |          82.35 |           0.00 |           0.00 |           0.00 
            178 |           0.27 |          86.31 |          81.76 |          82.92 |           0.00 |           0.00 |           0.00 
            179 |           0.26 |          86.20 |          81.31 |          83.24 |           0.00 |           0.00 |           0.00 
            180 |           0.29 |          86.58 |          82.78 |          83.05 |           0.00 |           0.00 |           0.00 
            181 |           0.24 |          86.14 |          80.99 |          82.66 |           0.00 |           0.00 |           0.00 
            182 |           0.27 |          85.46 |          80.68 |          82.73 |           0.00 |           0.00 |           0.00 
            183 |           0.28 |          85.91 |          81.95 |          82.86 |           0.00 |           0.00 |           0.00 
            184 |           0.27 |          85.83 |          81.19 |          82.47 |           0.00 |           0.00 |           0.00 
            185 |           0.28 |          86.63 |          82.72 |          82.66 |           0.00 |           0.00 |           0.00 
            186 |           0.29 |          86.25 |          81.70 |          83.17 |           0.00 |           0.00 |           0.00 
            187 |           0.28 |          86.73 |          81.89 |          82.86 |           0.00 |           0.00 |           0.00 
            188 |           0.26 |          86.27 |          82.14 |          82.86 |           0.00 |           0.00 |           0.00 
            189 |           0.29 |          86.84 |          81.06 |          83.11 |           0.00 |           0.00 |           0.00 
            190 |           0.27 |          86.52 |          82.08 |          82.03 |           0.00 |           0.00 |           0.00 
            191 |           0.27 |          86.26 |          81.19 |          81.39 |           0.00 |           0.00 |           0.00 
            192 |           0.28 |          86.38 |          80.99 |          81.90 |           0.00 |           0.00 |           0.00 
            193 |           0.25 |          86.14 |          81.25 |          82.15 |           0.00 |           0.00 |           0.00 
            194 |           0.28 |          85.69 |          80.74 |          83.37 |           0.00 |           0.00 |           0.00 
            195 |           0.30 |          86.27 |          82.14 |          82.47 |           0.00 |           0.00 |           0.00 
            196 |           0.26 |          86.23 |          82.40 |          82.47 |           0.00 |           0.00 |           0.00 
            197 |           0.26 |          86.29 |          81.38 |          82.28 |           0.00 |           0.00 |           0.00 
            198 |           0.30 |          86.29 |          80.68 |          81.58 |           0.00 |           0.00 |           0.00 
            199 |           0.29 |          86.89 |          81.76 |          82.22 |           0.00 |           0.00 |           0.00 
            200 |           0.27 |          86.83 |          82.59 |          82.60 |           0.00 |           0.00 |           0.00 
            201 |           0.26 |          87.27 |          82.46 |          82.47 |           0.00 |           0.00 |           0.00 
            202 |           0.27 |          87.05 |          81.51 |          81.90 |           0.00 |           0.00 |           0.00 
            203 |           0.25 |          86.99 |          82.78 |          82.47 |           0.00 |           0.00 |           0.00 
            204 |           0.25 |          86.36 |          80.55 |          82.09 |           0.00 |           0.00 |           0.00 
            205 |           0.27 |          86.56 |          81.38 |          82.92 |           0.00 |           0.00 |           0.00 
            206 |           0.27 |          86.62 |          81.31 |          82.86 |           0.00 |           0.00 |           0.00 
            207 |           0.26 |          86.83 |          82.02 |          82.66 |           0.00 |           0.00 |           0.00 
            208 |           0.26 |          86.67 |          81.12 |          81.96 |           0.00 |           0.00 |           0.00 
            209 |           0.24 |          86.46 |          82.59 |          83.43 |           0.00 |           0.00 |           0.00 
            210 |           0.29 |          86.92 |          81.63 |          82.54 |           0.00 |           0.00 |           0.00 
            211 |           0.29 |          87.04 |          82.21 |          83.49 |           0.00 |           0.00 |           0.00 
            212 |           0.26 |          86.60 |          82.72 |          83.75 |           0.00 |           0.00 |           0.00 
            213 |           0.26 |          87.20 |          82.65 |          83.43 |           0.00 |           0.00 |           0.00 
            214 |           0.27 |          86.46 |          81.70 |          82.03 |           0.00 |           0.00 |           0.00 
            215 |           0.25 |          86.60 |          81.95 |          81.77 |           0.00 |           0.00 |           0.00 
            216 |           0.27 |          86.79 |          82.46 |          82.22 |           0.00 |           0.00 |           0.00 
            217 |           0.27 |          86.80 |          82.91 |          82.79 |           0.00 |           0.00 |           0.00 
